EventID,Locality,Station,LatitudeInDD,LongitudeInDD,DepthInMeters,Temperature,Salinity,Oxygen,ObservationDate,ObservationTime,ImageFilePath,ScientificName,AphiaID,VernacularName,IdentificationComment,IndividualCount,Density (species/m²),PercentCover,Size,Condition,AssociatedTaxa,Habitat,Substrate
Dive 504059,Sonnier Bank,S1-T2,28.34080875,-92.45120205,29.330000000000002,,,,22/9/2017,9:46:03,,Stephanocoenia intersepta,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504060,Sonnier Bank,S1-T2,28.340788316666668,-92.45120735,28.209999999999997,,,,22/9/2017,9:46:22,,Millepora alcicornis,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504061,Sonnier Bank,S1-T2,28.340778883333332,-92.45121307,27.55,,,,22/9/2017,9:46:31,,Millepora alcicornis,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504062,Sonnier Bank,S1-T2,28.34076455,-92.45122548,26.96,,,,22/9/2017,9:46:44,,Millepora alcicornis,,,,7,2.692307692307692,,,,,Coral Community,Coral Community
Dive 504063,Sonnier Bank,S1-T2,28.340741316666666,-92.45124218,26.299999999999997,,,,22/9/2017,9:47:03,,Millepora alcicornis,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504064,Sonnier Bank,S1-T2,28.340722616666667,-92.45123398,25.560000000000002,,,,22/9/2017,9:47:16,,Millepora alcicornis,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504065,Sonnier Bank,S1-T2,28.340709733333334,-92.45124392,25.59,,,,22/9/2017,9:47:31,,Millepora alcicornis,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504066,Sonnier Bank,S1-T2,28.340686083333335,-92.45124927,24.84,,,,22/9/2017,9:47:48,,Millepora alcicornis,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504067,Sonnier Bank,S1-T2,28.34067496666667,-92.45125557,24.52,,,,22/9/2017,9:47:58,,Millepora alcicornis,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504073,Sonnier Bank,S1-T3,28.3403483,-92.45174277,49.839999999999996,,,,22/9/2017,9:56:38,,Tubastrea sp.,,Colonial Cup Coral,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504074,Sonnier Bank,S1-T3,28.34031965,-92.45175178,50.15,,,,22/9/2017,9:56:59,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504075,Sonnier Bank,S1-T3,28.340324066666668,-92.4517547,50,,,,22/9/2017,9:57:05,,Antipathes sp.,,Black Coral Sea Fan,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 504076,Sonnier Bank,S1-T3,28.340328616666667,-92.45175008,49.93,,,,22/9/2017,9:57:14,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504077,Sonnier Bank,S1-T3,28.340303883333334,-92.45174517,50.05,,,,22/9/2017,9:57:37,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 504078,Sonnier Bank,S1-T3,28.3402715,-92.45174705,50.42,,,,22/9/2017,9:58:00,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 504079,Sonnier Bank,S1-T3,28.340255683333332,-92.45175067,51.13,,,,22/9/2017,9:58:23,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504080,Sonnier Bank,S1-T3,28.340214183333334,-92.45175753,51.85,,,,22/9/2017,9:58:44,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504082,Sonnier Bank,S1-T3,28.340137616666667,-92.45173397,53.53,,,,22/9/2017,9:59:45,,Antipathes sp.,,Black Coral Sea Fan,,4,1.5384615384615383,,,,,Coral Community,Coral Community
Dive 504084,Sonnier Bank,S1-T3,28.34010705,-92.45168908,52.82,,,,22/9/2017,10:00:24,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 504085,Sonnier Bank,S1-T3,28.340093716666665,-92.45168992,52.99,,,,22/9/2017,10:00:30,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 504086,Sonnier Bank,S1-T3,28.340079433333333,-92.45166095,52.040000000000006,,,,22/9/2017,10:00:53,,Antipathes sp.,,Black Coral Sea Fan,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 504088,Sonnier Bank,S1-T3,28.340062733333333,-92.45163145,50.9,,,,22/9/2017,10:01:12,,Antipathes sp.,,Black Coral Sea Fan,,6,2.3076923076923075,,,,,Coral Community,Coral Community
Dive 504089,Sonnier Bank,S1-T3,28.3400663,-92.4516274,50.8,,,,22/9/2017,10:01:19,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506020,Sonnier Bank,S2-T5,28.3497469,-92.47090633,47.04,,,,22/9/2017,11:35:04,,Antipathes sp.,,Black Coral Sea Fan,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506020,Sonnier Bank,S2-T5,28.3497469,-92.47090633,47.04,,,,22/9/2017,11:35:04,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506020,Sonnier Bank,S2-T5,28.3497469,-92.47090633,47.04,,,,22/9/2017,11:35:04,,Stichopathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506023,Sonnier Bank,S2-T5,28.349736383333333,-92.4709012,46.73,,,,22/9/2017,11:36:06,,Stichopathes sp. ,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506023,Sonnier Bank,S2-T5,28.349736383333333,-92.4709012,46.73,,,,22/9/2017,11:36:06,,Madracis brueggemanni,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506024,Sonnier Bank,S2-T5,28.3497413,-92.47087323,45.87,,,,22/9/2017,11:36:18,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506026,Sonnier Bank,S2-T5,28.349745616666667,-92.47082878,45.68,,,,22/9/2017,11:36:39,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506028,Sonnier Bank,S2-T5,28.34976995,-92.4708173,45.72,,,,22/9/2017,11:36:58,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506028,Sonnier Bank,S2-T5,28.34976995,-92.4708173,45.72,,,,22/9/2017,11:36:58,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506029,Sonnier Bank,S2-T5,28.349777366666668,-92.47079667,45.71,,,,22/9/2017,11:37:14,,Stichopathes sp. ,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506030,Sonnier Bank,S2-T5,28.34980475,-92.4707868,46.010000000000005,,,,22/9/2017,11:37:26,,Stichopathes sp. ,,,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506031,Sonnier Bank,S2-T5,28.349807583333334,-92.4707523,46.059999999999995,,,,22/9/2017,11:37:37,,Antipathes sp.,,Black Coral Sea Fan,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 506031,Sonnier Bank,S2-T5,28.349807583333334,-92.4707523,46.059999999999995,,,,22/9/2017,11:37:37,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506031,Sonnier Bank,S2-T5,28.349807583333334,-92.4707523,46.059999999999995,,,,22/9/2017,11:37:37,,Stichopathes sp. ,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506031,Sonnier Bank,S2-T5,28.349807583333334,-92.4707523,46.059999999999995,,,,22/9/2017,11:37:37,,Stichopathes sp. ,,,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 506034,Sonnier Bank,S2-T5,28.349850016666668,-92.47074245,46.83,,,,22/9/2017,11:38:09,,Antipathes sp.,,Black Coral Sea Fan,,6,2.3076923076923075,,,,,Coral Community,Coral Community
Dive 506034,Sonnier Bank,S2-T5,28.349850016666668,-92.47074245,46.83,,,,22/9/2017,11:38:09,,Stichopathes sp. ,,,,16,6.153846153846153,,,,,Coral Community,Coral Community
Dive 506034,Sonnier Bank,S2-T5,28.349850016666668,-92.47074245,46.83,,,,22/9/2017,11:38:09,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506035,Sonnier Bank,S2-T5,28.349724266666666,-92.47075268,46.79,,,,22/9/2017,11:38:18,,Antipathes sp.,,Black Coral Sea Fan,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506035,Sonnier Bank,S2-T5,28.349724266666666,-92.47075268,46.79,,,,22/9/2017,11:38:18,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506035,Sonnier Bank,S2-T5,28.349724266666666,-92.47075268,46.79,,,,22/9/2017,11:38:18,,Stichopathes sp. ,,,,12,4.615384615384615,,,,,Coral Community,Coral Community
Dive 506037,Sonnier Bank,S2-T5,28.34990635,-92.47072673,48.39,,,,22/9/2017,11:38:35,,Antipathes sp.,,Black Coral Sea Fan,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506037,Sonnier Bank,S2-T5,28.34990635,-92.47072673,48.39,,,,22/9/2017,11:38:35,,Stichopathes sp. ,,,,9,3.4615384615384612,,,,,Coral Community,Coral Community
Dive 506037,Sonnier Bank,S2-T5,28.34990635,-92.47072673,48.39,,,,22/9/2017,11:38:35,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506039,Sonnier Bank,S2-T5,28.34992045,-92.47068892,48.14,,,,22/9/2017,11:38:54,,Stichopathes sp. ,,,,4,1.5384615384615383,,,,,Coral Community,Coral Community
Dive 506039,Sonnier Bank,S2-T5,28.34992045,-92.47068892,48.14,,,,22/9/2017,11:38:54,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506041,Sonnier Bank,S2-T5,28.3499352,-92.47064988,48.150000000000006,,,,22/9/2017,11:39:15,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506041,Sonnier Bank,S2-T5,28.3499352,-92.47064988,48.150000000000006,,,,22/9/2017,11:39:15,,Stichopathes sp. ,,,,21,8.076923076923077,,,,,Coral Community,Coral Community
Dive 506041,Sonnier Bank,S2-T5,28.3499352,-92.47064988,48.150000000000006,,,,22/9/2017,11:39:15,,Tanacetipathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506042,Sonnier Bank,S2-T5,28.349943516666666,-92.47063003,48.5,,,,22/9/2017,11:39:22,,Antipathes sp.,,Black Coral Sea Fan,,4,1.5384615384615383,,,,,Coral Community,Coral Community
Dive 506042,Sonnier Bank,S2-T5,28.349943516666666,-92.47063003,48.5,,,,22/9/2017,11:39:22,,Stichopathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506042,Sonnier Bank,S2-T5,28.349943516666666,-92.47063003,48.5,,,,22/9/2017,11:39:22,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506042,Sonnier Bank,S2-T5,28.349943516666666,-92.47063003,48.5,,,,22/9/2017,11:39:22,,Stichopathes sp. ,,,,11,4.230769230769231,,,,,Coral Community,Coral Community
Dive 506044,Sonnier Bank,S2-T5,28.349971216666667,-92.47059013,48.6,,,,22/9/2017,11:39:41,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506044,Sonnier Bank,S2-T5,28.349971216666667,-92.47059013,48.6,,,,22/9/2017,11:39:41,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506044,Sonnier Bank,S2-T5,28.349971216666667,-92.47059013,48.6,,,,22/9/2017,11:39:41,,Stichopathes sp. ,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506045,Sonnier Bank,S2-T5,28.349976266666665,-92.47057518,48.52,,,,22/9/2017,11:39:49,,Antipathes sp.,,Black Coral Sea Fan,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506045,Sonnier Bank,S2-T5,28.349976266666665,-92.47057518,48.52,,,,22/9/2017,11:39:49,,Stichopathes sp. ,,,,9,3.4615384615384612,,,,,Coral Community,Coral Community
Dive 506045,Sonnier Bank,S2-T5,28.349976266666665,-92.47057518,48.52,,,,22/9/2017,11:39:49,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506046,Sonnier Bank,S2-T5,28.34997308333333,-92.47056655,48.64,,,,22/9/2017,11:39:56,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506046,Sonnier Bank,S2-T5,28.34997308333333,-92.47056655,48.64,,,,22/9/2017,11:39:56,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506046,Sonnier Bank,S2-T5,28.34997308333333,-92.47056655,48.64,,,,22/9/2017,11:39:56,,Stichopathes sp. ,,,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 506047,Sonnier Bank,S2-T5,28.349996333333333,-92.4705521,49.04,,,,22/9/2017,11:40:18,,Stichopathes sp. ,,,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506056,Sonnier Bank,S2-T6,28.350008416666668,-92.47067363,51.269999999999996,,,,22/9/2017,12:00:45,,Antipathes sp.,,Black Coral Sea Fan,,9,3.4615384615384612,,,,,Coral Community,Coral Community
Dive 506056,Sonnier Bank,S2-T6,28.350008416666668,-92.47067363,51.269999999999996,,,,22/9/2017,12:00:45,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506056,Sonnier Bank,S2-T6,28.350008416666668,-92.47067363,51.269999999999996,,,,22/9/2017,12:00:45,,Stichopathes sp. ,,,,27,10.384615384615385,,,,,Coral Community,Coral Community
Dive 506057,Sonnier Bank,S2-T6,28.350017433333335,-92.47065302,51.13,,,,22/9/2017,12:00:56,,Antipathes sp.,,Black Coral Sea Fan,,9,3.4615384615384612,,,,,Coral Community,Coral Community
Dive 506057,Sonnier Bank,S2-T6,28.350017433333335,-92.47065302,51.13,,,,22/9/2017,12:00:56,,Stichopathes sp. ,,,,18,6.9230769230769225,,,,,Coral Community,Coral Community
Dive 506058,Sonnier Bank,S2-T6,28.350024983333334,-92.47063045,51.04,,,,22/9/2017,12:01:20,,Antipathes sp.,,Black Coral Sea Fan,,14,5.384615384615384,,,,,Coral Community,Coral Community
Dive 506058,Sonnier Bank,S2-T6,28.350024983333334,-92.47063045,51.04,,,,22/9/2017,12:01:20,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506058,Sonnier Bank,S2-T6,28.350024983333334,-92.47063045,51.04,,,,22/9/2017,12:01:20,,Stichopathes sp. ,,,,24,9.230769231,,,,,Coral Community,Coral Community
Dive 506059,Sonnier Bank,S2-T6,28.350032966666667,-92.47055493,50.809999999999995,,,,22/9/2017,12:01:30,,Antipathes sp.,,Black Coral Sea Fan,,13,5,,,,,Coral Community,Coral Community
Dive 506059,Sonnier Bank,S2-T6,28.350032966666667,-92.47055493,50.809999999999995,,,,22/9/2017,12:01:30,,Antipathes furcata,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506059,Sonnier Bank,S2-T6,28.350032966666667,-92.47055493,50.809999999999995,,,,22/9/2017,12:01:30,,Stichopathes sp. ,,,,19,7.3076923076923075,,,,,Coral Community,Coral Community
Dive 506059,Sonnier Bank,S2-T6,28.350032966666667,-92.47055493,50.809999999999995,,,,22/9/2017,12:01:30,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506060,Sonnier Bank,S2-T6,28.3500271,-92.47059015,50.470000000000006,,,,22/9/2017,12:01:39,,Antipathes sp.,,Black Coral Sea Fan,,11,4.230769230769231,,,,,Coral Community,Coral Community
Dive 506060,Sonnier Bank,S2-T6,28.3500271,-92.47059015,50.470000000000006,,,,22/9/2017,12:01:39,,Stichopathes sp. ,,,,14,5.384615384615384,,,,,Coral Community,Coral Community
Dive 506060,Sonnier Bank,S2-T6,28.3500271,-92.47059015,50.470000000000006,,,,22/9/2017,12:01:39,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506061,Sonnier Bank,S2-T6,28.3500122,-92.4705751,50.29,,,,22/9/2017,12:01:51,,Antipathes sp.,,Black Coral Sea Fan,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506061,Sonnier Bank,S2-T6,28.3500122,-92.4705751,50.29,,,,22/9/2017,12:01:51,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506061,Sonnier Bank,S2-T6,28.3500122,-92.4705751,50.29,,,,22/9/2017,12:01:51,,Stichopathes sp. ,,,,18,6.9230769230769225,,,,,Coral Community,Coral Community
Dive 506062,Sonnier Bank,S2-T6,28.35002685,-92.47056162,50.22,,,,22/9/2017,12:02:11,,Antipathes sp.,,Black Coral Sea Fan,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506062,Sonnier Bank,S2-T6,28.35002685,-92.47056162,50.22,,,,22/9/2017,12:02:11,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506062,Sonnier Bank,S2-T6,28.35002685,-92.47056162,50.22,,,,22/9/2017,12:02:11,,Stichopathes sp. ,,,,17,6.538461538461538,,,,,Coral Community,Coral Community
Dive 506063,Sonnier Bank,S2-T6,28.349986416666667,-92.47053692,49.370000000000005,,,,22/9/2017,12:02:32,,Antipathes sp.,,Black Coral Sea Fan,,11,4.230769230769231,,,,,Coral Community,Coral Community
Dive 506063,Sonnier Bank,S2-T6,28.349986416666667,-92.47053692,49.370000000000005,,,,22/9/2017,12:02:32,,Antipathes furcata,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506063,Sonnier Bank,S2-T6,28.349986416666667,-92.47053692,49.370000000000005,,,,22/9/2017,12:02:32,,Stichopathes sp. ,,,,13,5,,,,,Coral Community,Coral Community
Dive 506064,Sonnier Bank,S2-T6,28.3500115,-92.47052678,49.7,,,,22/9/2017,12:02:55,,Antipathes sp.,,Black Coral Sea Fan,,6,2.3076923076923075,,,,,Coral Community,Coral Community
Dive 506064,Sonnier Bank,S2-T6,28.3500115,-92.47052678,49.7,,,,22/9/2017,12:02:55,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506064,Sonnier Bank,S2-T6,28.3500115,-92.47052678,49.7,,,,22/9/2017,12:02:55,,Stichopathes sp. ,,,,14,5.384615384615384,,,,,Coral Community,Coral Community
Dive 506065,Sonnier Bank,S2-T6,28.34999596666667,-92.47049252,49.64,,,,22/9/2017,12:03:08,,Antipathes sp.,,Black Coral Sea Fan,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506065,Sonnier Bank,S2-T6,28.34999596666667,-92.47049252,49.64,,,,22/9/2017,12:03:08,,Stichopathes sp. ,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506065,Sonnier Bank,S2-T6,28.34999596666667,-92.47049252,49.64,,,,22/9/2017,12:03:08,,Stichopathes sp. ,,,,11,4.230769230769231,,,,,Coral Community,Coral Community
Dive 506066,Sonnier Bank,S2-T6,28.350008416666668,-92.47046157,50.419999999999995,,,,22/9/2017,12:03:33,,Antipathes sp.,,Black Coral Sea Fan,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506066,Sonnier Bank,S2-T6,28.350008416666668,-92.47046157,50.419999999999995,,,,22/9/2017,12:03:33,,Stichopathes sp. ,,,,6,2.3076923076923075,,,,,Coral Community,Coral Community
Dive 506066,Sonnier Bank,S2-T6,28.350008416666668,-92.47046157,50.419999999999995,,,,22/9/2017,12:03:33,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506066,Sonnier Bank,S2-T6,28.350008416666668,-92.47046157,50.419999999999995,,,,22/9/2017,12:03:33,,Ellisella sp.,,,,5,1.923076923076923,,,,,Coral Community,Coral Community
Dive 506067,Sonnier Bank,S2-T6,28.349994866666666,-92.47044377,50.82,,,,22/9/2017,12:03:46,,Antipathes sp.,,Black Coral Sea Fan,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 506067,Sonnier Bank,S2-T6,28.349994866666666,-92.47044377,50.82,,,,22/9/2017,12:03:46,,Stichopathes sp. ,,,,10,3.846153846153846,,,,,Coral Community,Coral Community
Dive 506068,Sonnier Bank,S2-T6,28.35003395,-92.47037862,51.43,,,,22/9/2017,12:04:09,,Antipathes sp.,,Black Coral Sea Fan,,10,3.846153846153846,,,,,Coral Community,Coral Community
Dive 506068,Sonnier Bank,S2-T6,28.35003395,-92.47037862,51.43,,,,22/9/2017,12:04:09,,Stichopathes sp. ,,,,17,6.538461538461538,,,,,Coral Community,Coral Community
Dive 506068,Sonnier Bank,S2-T6,28.35003395,-92.47037862,51.43,,,,22/9/2017,12:04:09,,Antipathes furcata,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 506068,Sonnier Bank,S2-T6,28.35003395,-92.47037862,51.43,,,,22/9/2017,12:04:09,,Tanacetipathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 506069,Sonnier Bank,S2-T6,28.350017133333335,-92.47036077,51.83,,,,22/9/2017,12:04:35,,Antipathes sp.,,Black Coral Sea Fan,,4,1.5384615384615383,,,,,Coral Community,Coral Community
Dive 506069,Sonnier Bank,S2-T6,28.350017133333335,-92.47036077,51.83,,,,22/9/2017,12:04:35,,Stichopathes sp. ,,,,8,3.0769230769230766,,,,,Coral Community,Coral Community
Dive 506070,Sonnier Bank,S2-T6,28.350040516666667,-92.47026533,52.879999999999995,,,,22/9/2017,12:05:02,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 506071,Sonnier Bank,S2-T6,28.350063,-92.47025315,53.2,,,,22/9/2017,12:05:19,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507022,Sonnier Bank,S3-T8,28.328620966666666,-92.46563988,49.4,,,,22/9/2017,13:35:00,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507023,Sonnier Bank,S3-T8,28.328610916666666,-92.46563655,49.4,,,,22/9/2017,13:35:04,,Madracis decactus,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 507024,Sonnier Bank,S3-T8,28.3285892,-92.46560597,50.05,,,,22/9/2017,13:35:44,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507025,Sonnier Bank,S3-T8,28.328551383333334,-92.46559102,50.190000000000005,,,,22/9/2017,13:36:03,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507026,Sonnier Bank,S3-T8,28.3285448,-92.46557288,49.31,,,,22/9/2017,13:36:24,,Stichopathes sp. ,,,,4,1.5384615384615383,,,,,Coral Community,Coral Community
Dive 507026,Sonnier Bank,S3-T8,28.3285448,-92.46557288,49.31,,,,22/9/2017,13:36:24,,Antipathes furcata,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 507027,Sonnier Bank,S3-T8,28.3284906,-92.46556505,50.15,,,,22/9/2017,13:36:52,,Stichopathes sp. ,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 507027,Sonnier Bank,S3-T8,28.3284906,-92.46556505,50.15,,,,22/9/2017,13:36:52,,Ellisella sp.,,,,3,1.1538461538461537,,,,,Coral Community,Coral Community
Dive 507028,Sonnier Bank,S3-T8,28.328465533333333,-92.46557282,50.27,,,,22/9/2017,13:37:00,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507029,Sonnier Bank,S3-T8,28.3284128,-92.46555358,50.15,,,,22/9/2017,13:37:35,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507030,Sonnier Bank,S3-T8,28.32839455,-92.4655219,50.379999999999995,,,,22/9/2017,13:37:55,,.,,,,0,0,,,,,Coral Community,Coral Community
Dive 507031,Sonnier Bank,S3-T8,28.328350633333333,-92.46546095,50.3,,,,22/9/2017,13:38:55,,Stichopathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 507033,Sonnier Bank,S3-T8,28.328295033333333,-92.46543648,50.39,,,,22/9/2017,13:39:26,,Stichopathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 507034,Sonnier Bank,S3-T8,28.328258783333332,-92.465447,50.4,,,,22/9/2017,13:39:50,,Antipathes sp.,,Black Coral Sea Fan,,1,0.3846153846153846,,,,,Coral Community,Coral Community
Dive 507034,Sonnier Bank,S3-T8,28.328258783333332,-92.465447,50.4,,,,22/9/2017,13:39:50,,Stichopathes sp. ,,,,2,0.7692307692307692,,,,,Coral Community,Coral Community
Dive 507034,Sonnier Bank,S3-T8,28.328258783333332,-92.465447,50.4,,,,22/9/2017,13:39:50,,Muricea pendula,,,,1,0.3846153846153846,,,,,Coral Community,Coral Community
